new entry "Shout_Morning_Exercises"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Illusion"
data "ContainerSpells" "Target_Longstrider;Shout_FeatherFall;Target_FreedomOfMovement;Shout_SeeInvisibility;Target_Guidance;Target_Bless;Target_Darkvision;Target_Jump;Target_SpeakWithDead;Shout_SpeakWithAnimals;Shout_DetectThoughts;Target_Enlarge;Shout_DetectThoughts;Target_ShieldOfFaith;Shout_DivineFavor;Shout_BladeWard;Target_Resistance"
data "AIFlags" "CanNotUse"
data "TargetConditions" "Ally()"
data "Icon" "Spell_Enchantment_Bless"
data "DisplayName" "hde684d6dg1a48g4603g8a77g591561b67ffe;1"
data "Description" "h05aef78dgf5a8g4537g8a87gf6adc10d31c7;1"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "CastSound" "Spell_Cast_Utility_DisguiseSelf_L1to3"
data "TargetSound" "Spell_Impact_Utility_DisguiseSelf_L1to3"
data "VocalComponentSound" "Vocal_Component_PolymorphGeneric"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;bcc3b0d9-f04f-4448-aab0-e0ad641167cc,,;bf924cc6-8b39-4c3b-b1c0-eda264cf6150,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent;IsLinkedSpellContainer"
data "MemoryCost" "1"
data "PrepareEffect" "9e7ec23c-4b13-4a88-b3d6-1df1782e4359"
data "CastEffect" "c33c578f-fc5c-4a9d-a961-78b7bfff73d7"
data "HitEffect" "ebcd0860-3695-4762-b9f5-4e441c4bf888"
